display_name,dba,legal_name,address,zip,website,logo,license_id,license_description,class,type,original_issue,effective,expires,lat,lon,assignment_method
BEST LIQUOR 797 INC,,BEST LIQUOR 797 INC,797 FLATBUSH AVENUE,11226,,,0100-23-126724,Liquor Store,0100,license,2026-03-05,2026-05-01,2029-04-30,40.65314,-73.95936,pip
Bfresh Deli,Bfresh Deli,"Belwal Corp, The",1614 Avenue H,11230,,,0081-25-105293,Grocery Store,0081,license,2025-03-19,2025-03-19,2028-02-29,40.63012,-73.96084,pip
Big Waves 1 Corp.,,Big Waves 1 Corp.,1217 Flatbush Ave,11226,,,0081-26-143605,Grocery Store,0081,license,2026-05-20,2026-05-20,2029-04-30,40.64061,-73.95574,pip
BP,BP,FARRAGUT GAS INC,42 10 FARRAGUT ROAD,11203,,,0081-21-112881,Grocery Store,0081,license,2024-05-28,2024-06-01,2027-05-31,40.63532,-73.95799,pip
Brooklyn's Finest Deli & Grill Corp,,Brooklyn's Finest Deli & Grill Corp,1402 Cortelyou Rd,11226,,,0081-25-107110,Grocery Store,0081,license,2025-04-11,2025-04-11,2028-03-31,40.64085,-73.96522,pip
Burgers Bar,Burgers Bar,One O One LLC,1775 Coney Island Ave,11230,,,0267-25-114037,Food & Beverage Business,0267,license,2025-06-16,2025-06-16,2027-05-31,40.61434,-73.96319,geoclient
C TOWN,C TOWN,597 FOOD CORP,597 E 16TH STREET,11226,https://locations.ctownsupermarkets.com/ctown-supermarkets-a154bb05406a,/liquor/logos/faba12d319ea.png,0071-22-111000,Grocery Store,0071,license,2025-05-08,2025-07-01,2028-06-30,40.63563,-73.96242,pip
Camille Edwards,,Camille Edwards,1480 Flatbush Ave,11210,,,0524-26-48311,Temporary retail,0524,temporary,2026-07-10,2026-07-10,2027-01-06,40.63479,-73.94973,pip
CAROLIN GROCERY CORP,,CAROLIN GROCERY CORP,1276 FLATBUSH AVE,11226,,,0081-22-136390,Grocery Store,0081,license,2025-07-17,2025-09-01,2028-08-31,40.63904,-73.9542,geoclient
CHAMO DELI & GROCERY,CHAMO DELI & GROCERY,R & Y CLEANING SERVICE INC,2227 DITMAS AVE,11226,,,0081-21-100471,Grocery Store,0081,license,2024-01-19,2024-02-01,2027-01-31,40.6405,-73.95602,pip
CHAPIMEX DELI CORP,,CHAPIMEX DELI CORP,943 MCDONALD AVE,11218,,,0071-23-137856,Grocery Store,0071,license,2026-04-02,2026-04-02,2029-03-31,40.63106,-73.9772,geoclient
CHIPOTLE MEXICAN GRILL #2766,CHIPOTLE MEXICAN GRILL #2766,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,2166 NOSTRAND AVE,11210,,,0340-23-136335,Restaurant,0340,license,2025-07-23,2025-08-01,2027-07-31,40.6321,-73.9476,pip
CHIPOTLE MEXICAN GRILL #4491,CHIPOTLE MEXICAN GRILL #4491,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,1004 FLATBUSH AVENUE,11226,,,0240-25-107631,Restaurant,0240,license,2025-04-18,2025-04-18,2027-03-31,40.64683,-73.95812,pip
CINCO DE MAYO MEXICAN GRILL CORP,,CINCO DE MAYO MEXICAN GRILL CORP,1205 Church Ave,11218,https://www.cincodemayomxgrill.com,/liquor/logos/31f480501b6f.png,0340-24-110748,Restaurant,0340,license,2026-06-09,2026-04-01,2028-03-31,40.64745,-73.96811,pip
CINDY'S FINE WINES & LIQUORS LTD,,CINDY'S FINE WINES & LIQUORS LTD,1176 CONEY ISLAND AVE,11230,,,0100-22-116290,Liquor Store,0100,license,2025-03-03,2025-04-01,2028-03-31,40.62889,-73.96594,geoclient
COFFEE HOUSE & DELI CORP,,COFFEE HOUSE & DELI CORP,1133 FLATBUSH AVE,11226,,,0081-21-105783,Grocery Store,0081,license,2024-07-12,2024-08-01,2027-07-31,40.64283,-73.95767,pip
COFFEE MOB BAR & ROASTERY,COFFEE MOB BAR & ROASTERY,COFFEE MOB COFFEE ROASTERS LLC,1602 NEWKIRK AVE,11226,,,0267-23-128594,Food & Beverage Business,0267,license,2025-06-16,2025-06-16,2027-01-31,40.63596,-73.9624,pip
COLLEGE WINES & LIQUORS,COLLEGE WINES & LIQUORS,TIMES WINE LLC,1577 FLATBUSH AVE,11210,,,0100-22-116117,Liquor Store,0100,license,2025-04-03,2025-05-01,2028-04-30,40.63234,-73.94716,pip
