lic,name,entity,address,zip,cd,cb,codes,bakery,prep,sqft,lat,lng,geocoded
616965,Dollar Tree #4091,Dollar Tree Stores Inc,680 Meeker Ave,11222,301,BKCB1,A,False,False,12000,40.72286,-73.93961,False
616927,Nosh & Bagel Ii,Nosh & Bagel Ii Inc,5721 16Th Ave,11204,312,BKCB12,AC,False,True,900,40.62607,-73.99064,False
616902,902 Nostrand Avenue,902 Nostrand Avenue Corp,902 Nostrand Ave,11225,309,BKCB9,AC,False,True,0,40.6673,-73.95073,False
616886,Walgreens #10064,Walgreen Eastern Co Inc,3082 Avenue U,11229,315,BKCB15,A,False,False,11000,40.60126,-73.9358,False
616879,Mando Food Mini Mart,Mando Food Corp,7212 5Th Ave,11209,310,BKCB10,AC,False,True,2000,40.63139,-74.02185,False
616877,Champion Deli & Grocery,Champion Deli & Grocery Corp,121 Atlantic Ave,11201,306,BKCB6,AC,False,True,1500,40.69071,-73.99608,False
616872,3442 Fulton St Food&Gry,3442 Fulton St Food Corp,3442 Fulton St,11208,305,BKCB5,AC,False,True,2000,40.68468,-73.86854,False
616868,Eastern District,Kriti Corp,1053 Manhattan Ave,11222,301,BKCB1,AC,False,True,2000,40.73477,-73.95502,False
616867,Narala Bakery,Narala Bakery Inc,744 Coney Island Ave,11218,312,BKCB12,ABCH,True,True,2000,40.63942,-73.96885,False
616862,Hadera,Hadera Inc,529 Kings Hwy,11223,315,BKCB15,ABC,True,True,4000,40.60448,-73.96973,False
616858,Duane Reade 14128,Duane Reade Et Al Ptrs,386 Fulton St,11201,302,BKCB2,A,False,False,10000,40.69135,-73.98711,False
616853,Farmers Deli,Mozeb Omer Ali&Abdo Ali,723 Grand St,11211,301,BKCB1,AC,False,True,1500,40.71161,-73.94409,False
616852,Duane Reade 14184,Duane Reade Inc,724 Flatbush Ave,11226,309,BKCB9,A,False,False,2500,40.65544,-73.95982,False
616819,C Town-La Bella Mktplc,Fpl Foods Inc,7907 13Th Ave,11228,310,BKCB10,ABC,True,True,12000,40.61785,-74.00997,False
616805,Scaturro Supermarket,Charles Scaturro&Sons Inc,6301 11Th Ave####,11219,310,BKCB10,AC,False,True,10000,40.62949,-74.00481,False
616799,My Favorite Bagel,Bhs&D Corp,3053 Nostrand Ave,11229,315,BKCB15,ACH,False,True,450,40.60992,-73.94366,False
616785,Bravo Supermarket,331 Eusebio Food Corp,331 Myrtle Ave,11205,302,BKCB2,AC,False,True,10000,40.69327,-73.9735,False
616784,Angela Ii Fish Market,Angela Ii Fish Market Inc,9501 Church Ave,11212,317,BKCB17,AC,False,True,1700,40.65521,-73.91623,False
616768,Prime Cut/Master Butcher,J&A Glatt Meats Inc,431 Avenue U,11223,315,BKCB15,AC,False,True,2500,40.59754,-73.96813,False
616766,First Stop Grocery,First Stop Grocery I Inc,3185 Fulton St  ###,11208,305,BKCB5,AC,False,True,2000,40.68217,-73.87735,False
616765,My Neighborhood Grocery,Perez Jose Leonardo,385 Chestnut St,11208,305,BKCB5,AC,False,True,1500,40.67756,-73.87399,False
616761,Flaum Appetizing,Hatzlucha Appetizing Corp,40 Lee Ave,11211,301,BKCB1,ABC,True,True,1200,40.70635,-73.96065,False
616744,Duane Reade 14444,Duane Reade Et Al Ptrs,2265 Ralph Ave,11234,318,BKCB18,A,False,False,2000,40.62249,-73.91723,False
616724,Ans Deli&Grocery Newsst,Ans Grocery Inc,2668 Coney Island Ave,11223,315,BKCB15,A,False,False,700,40.59172,-73.96069,False
616719,Kings Convience,Kings Convience Corp,1426 Kings Hwy,11229,315,BKCB15,AC,False,True,1900,40.60867,-73.95846,False
616710,Welcome Pharmacy,Vava Pharmacy Inc,1403 Foster Ave,11230,314,BKCB14,A,False,False,800,40.63378,-73.96369,False
616705,C Town Supermarket,953 Manhattan Food Corp,953 Manhattan Ave,11222,301,BKCB1,AC,False,True,12000,40.73189,-73.95455,False
